customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),32.59,161.69,Yes
CUST-00002,Female,0,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.67,1543.61,No
CUST-00003,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.56,270.19,Yes
CUST-00004,Male,0,No,No,29,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.27,2294.11,No
CUST-00005,Male,0,No,No,19,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),83.77,1594.41,No
CUST-00006,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,102.73,4004.74,No
CUST-00007,Male,0,Yes,Yes,45,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Electronic check,29.04,1304.84,No
CUST-00008,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,42.61,41.14,Yes
CUST-00009,Male,0,Yes,No,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,79.69,3105.75,No
CUST-00010,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,109.24,881.23,Yes
CUST-00011,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),114.42,803.6,Yes
CUST-00012,Female,0,Yes,Yes,4,No,No phone service,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Bank transfer (automatic),18.72,68.93,No
CUST-00013,Female,0,No,No,13,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Mailed check,20.59,261.82,No
CUST-00014,Female,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,79.41,3577.12,No
CUST-00015,Female,0,Yes,Yes,18,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,43.14,775.16,No
CUST-00016,Female,0,No,No,47,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,74.91,3513.05,No
CUST-00017,Female,0,Yes,No,16,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,Yes,Mailed check,24.24,381.84,No
CUST-00018,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),75.02,1806.43,No
CUST-00019,Female,0,Yes,Yes,52,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,56.88,2961.2,No
CUST-00020,Male,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),91.08,5919.04,No
CUST-00021,Female,1,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),103.6,4659.88,No
CUST-00022,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,67.01,399.97,No
CUST-00023,Male,1,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,33.98,140.28,Yes
CUST-00024,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),115.5,1158.33,Yes
CUST-00025,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,110.51,1329.37,No
CUST-00026,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),119.35,8362.64,No
CUST-00027,Male,0,Yes,No,55,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Bank transfer (automatic),23.31,1287.03,No
CUST-00028,Female,0,Yes,No,38,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,37.27,1408.32,No
CUST-00029,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,1120.43,No
CUST-00030,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,90.4,271.85,Yes
CUST-00031,Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.48,410.59,Yes
CUST-00032,Male,1,Yes,Yes,58,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Credit card (automatic),29.91,1744.24,No
CUST-00033,Male,0,Yes,No,31,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,57.21,1782.09,No
CUST-00034,Female,0,Yes,No,13,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,Yes,Credit card (automatic),20.84,272.09,No
CUST-00035,Female,0,No,Yes,55,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,44.91,2473.1,No
CUST-00036,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,51.07,100.22,No
CUST-00037,Female,1,No,No,19,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Mailed check,19.58,366.89,No
CUST-00038,Female,0,Yes,No,25,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,75.04,1880.15,No
CUST-00039,Male,1,Yes,Yes,14,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Credit card (automatic),21.54,295.94,Yes
CUST-00040,Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,117.88,703.91,Yes
CUST-00041,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),92.24,1192.21,Yes
CUST-00042,Female,0,No,Yes,32,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,46.56,1494.59,No
CUST-00043,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,108.33,2593.47,Yes
CUST-00044,Male,0,No,No,20,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Electronic check,39.07,783.5,No
CUST-00045,Male,0,No,Yes,19,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),56.66,1074.12,No
CUST-00046,Female,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,104.66,7539.36,No
CUST-00047,Male,0,Yes,Yes,23,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.48,1479.91,Yes
CUST-00048,Female,0,Yes,No,45,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),46.54,2088.04,No
CUST-00049,Female,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),105.62,6961.02,No
CUST-00050,Female,1,No,No,6,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,45.86,274.59,No
CUST-00051,Female,0,No,No,4,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Credit card (automatic),30.63,115.27,Yes
CUST-00052,Male,0,No,No,19,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,104.05,1977.51,No
CUST-00053,Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.9,1804.99,Yes
CUST-00054,Male,0,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,74.22,371.17,Yes
CUST-00055,Male,0,No,Yes,17,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Bank transfer (automatic),23.01,388.75,No
CUST-00056,Male,0,No,No,14,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,86.84,1204.9,No
CUST-00057,Female,0,No,Yes,34,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,Yes,Credit card (automatic),28.08,952.06,No
CUST-00058,Male,0,No,No,22,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),59.21,1310.74,No
CUST-00059,Female,0,No,Yes,5,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Mailed check,37.18,185.41,Yes
CUST-00060,Female,0,Yes,Yes,9,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Electronic check,37.66,330.96,No
CUST-00061,Female,0,Yes,No,15,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,No,Electronic check,27.2,400.65,No
CUST-00062,Female,0,No,No,15,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.06,1291.49,No
CUST-00063,Male,0,No,Yes,21,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.23,1663.59,No
CUST-00064,Female,0,Yes,Yes,43,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Mailed check,24.42,1064.93,No
CUST-00065,Male,1,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,75.68,2951.95,No
CUST-00066,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),97.63,3910.16,No
CUST-00067,Female,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,88.72,3897.53,No
CUST-00068,Male,0,No,Yes,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),30.44,609.52,No
